10/8400 (epoch 0.060), train_loss = 3.05111740, grad/param norm = 4.0495e-01, time/batch = 0.0894s	
610/8400 (epoch 3.631), train_loss = 1.83036747, grad/param norm = 4.7195e-02, time/batch = 0.0941s	
620/8400 (epoch 3.690), train_loss = 1.80994996, grad/param norm = 4.7003e-02, time/batch = 0.0907s	
630/8400 (epoch 3.750), train_loss = 1.88873930, grad/param norm = 3.9301e-02, time/batch = 0.0910s	
640/8400 (epoch 3.810), train_loss = 1.86505363, grad/param norm = 5.0821e-02, time/batch = 0.0907s	
650/8400 (epoch 3.869), train_loss = 1.79637769, grad/param norm = 4.1988e-02, time/batch = 0.0904s	
660/8400 (epoch 3.929), train_loss = 1.84905426, grad/param norm = 4.3743e-02, time/batch = 0.0904s	
670/8400 (epoch 3.988), train_loss = 1.82675789, grad/param norm = 4.7165e-02, time/batch = 0.0914s	
680/8400 (epoch 4.048), train_loss = 1.80504765, grad/param norm = 5.1976e-02, time/batch = 0.0924s	
690/8400 (epoch 4.107), train_loss = 1.80420520, grad/param norm = 4.6045e-02, time/batch = 0.0904s	
700/8400 (epoch 4.167), train_loss = 1.74149319, grad/param norm = 4.6371e-02, time/batch = 0.0913s	
710/8400 (epoch 4.226), train_loss = 1.79355063, grad/param norm = 5.0846e-02, time/batch = 0.0920s	
720/8400 (epoch 4.286), train_loss = 1.80503021, grad/param norm = 5.0563e-02, time/batch = 0.0916s	
730/8400 (epoch 4.345), train_loss = 1.80450013, grad/param norm = 4.5545e-02, time/batch = 0.0937s	
740/8400 (epoch 4.405), train_loss = 1.79270597, grad/param norm = 4.5196e-02, time/batch = 0.0904s	
750/8400 (epoch 4.464), train_loss = 1.82494537, grad/param norm = 5.3001e-02, time/batch = 0.0911s	
760/8400 (epoch 4.524), train_loss = 1.82296517, grad/param norm = 4.1327e-02, time/batch = 0.0904s	
770/8400 (epoch 4.583), train_loss = 1.80839071, grad/param norm = 4.5417e-02, time/batch = 0.0925s	
780/8400 (epoch 4.643), train_loss = 1.77195544, grad/param norm = 4.8954e-02, time/batch = 0.0938s	
790/8400 (epoch 4.702), train_loss = 1.78195189, grad/param norm = 4.1215e-02, time/batch = 0.0915s	
800/8400 (epoch 4.762), train_loss = 1.77837885, grad/param norm = 4.5874e-02, time/batch = 0.0912s	
810/8400 (epoch 4.821), train_loss = 1.79776310, grad/param norm = 4.8417e-02, time/batch = 0.0909s	
820/8400 (epoch 4.881), train_loss = 1.82708715, grad/param norm = 4.2462e-02, time/batch = 0.0904s	
830/8400 (epoch 4.940), train_loss = 1.81509562, grad/param norm = 4.7733e-02, time/batch = 0.0918s	
840/8400 (epoch 5.000), train_loss = 1.75995713, grad/param norm = 4.3043e-02, time/batch = 0.0921s	
850/8400 (epoch 5.060), train_loss = 1.70966374, grad/param norm = 4.0378e-02, time/batch = 0.0948s	
860/8400 (epoch 5.119), train_loss = 1.80581268, grad/param norm = 4.7668e-02, time/batch = 0.0930s	
870/8400 (epoch 5.179), train_loss = 1.71753406, grad/param norm = 3.7961e-02, time/batch = 0.0904s	
880/8400 (epoch 5.238), train_loss = 1.74696412, grad/param norm = 4.5603e-02, time/batch = 0.0918s	
890/8400 (epoch 5.298), train_loss = 1.76798768, grad/param norm = 4.1678e-02, time/batch = 0.0911s	
900/8400 (epoch 5.357), train_loss = 1.73693858, grad/param norm = 3.3885e-02, time/batch = 0.0915s	
910/8400 (epoch 5.417), train_loss = 1.79633795, grad/param norm = 4.0724e-02, time/batch = 0.0904s	
920/8400 (epoch 5.476), train_loss = 1.74242268, grad/param norm = 3.9162e-02, time/batch = 0.0911s	
930/8400 (epoch 5.536), train_loss = 1.74175526, grad/param norm = 4.2548e-02, time/batch = 0.0912s	
940/8400 (epoch 5.595), train_loss = 1.75361674, grad/param norm = 4.2226e-02, time/batch = 0.0908s	
950/8400 (epoch 5.655), train_loss = 1.79024871, grad/param norm = 4.2009e-02, time/batch = 0.0905s	
960/8400 (epoch 5.714), train_loss = 1.79898017, grad/param norm = 4.1593e-02, time/batch = 0.0915s	
970/8400 (epoch 5.774), train_loss = 1.72547543, grad/param norm = 3.9579e-02, time/batch = 0.0926s	
980/8400 (epoch 5.833), train_loss = 1.75873149, grad/param norm = 4.0910e-02, time/batch = 0.0915s	
990/8400 (epoch 5.893), train_loss = 1.76353336, grad/param norm = 3.9739e-02, time/batch = 0.0922s	
1000/8400 (epoch 5.952), train_loss = 1.73559011, grad/param norm = 3.5453e-02, time/batch = 0.0916s	
1010/8400 (epoch 6.012), train_loss = 1.76295375, grad/param norm = 3.9050e-02, time/batch = 0.0950s	
1020/8400 (epoch 6.071), train_loss = 1.70930889, grad/param norm = 3.6570e-02, time/batch = 0.0935s	
1030/8400 (epoch 6.131), train_loss = 1.74895529, grad/param norm = 3.6240e-02, time/batch = 0.0963s	
1040/8400 (epoch 6.190), train_loss = 1.74151451, grad/param norm = 3.5099e-02, time/batch = 0.0906s	
1050/8400 (epoch 6.250), train_loss = 1.72864080, grad/param norm = 4.2522e-02, time/batch = 0.0916s	
1060/8400 (epoch 6.310), train_loss = 1.69262292, grad/param norm = 3.6219e-02, time/batch = 0.1161s	
1070/8400 (epoch 6.369), train_loss = 1.71294072, grad/param norm = 3.4214e-02, time/batch = 0.0924s	
1080/8400 (epoch 6.429), train_loss = 1.80415579, grad/param norm = 3.7797e-02, time/batch = 0.0909s	
1090/8400 (epoch 6.488), train_loss = 1.76386870, grad/param norm = 4.3729e-02, time/batch = 0.0932s	
1100/8400 (epoch 6.548), train_loss = 1.69029770, grad/param norm = 4.0207e-02, time/batch = 0.0924s	
1110/8400 (epoch 6.607), train_loss = 1.62796237, grad/param norm = 3.6647e-02, time/batch = 0.0926s	
1120/8400 (epoch 6.667), train_loss = 1.74323398, grad/param norm = 3.5179e-02, time/batch = 0.0914s	
1130/8400 (epoch 6.726), train_loss = 1.75650226, grad/param norm = 4.5340e-02, time/batch = 0.0965s	
1140/8400 (epoch 6.786), train_loss = 1.75854409, grad/param norm = 4.3025e-02, time/batch = 0.0923s	
1150/8400 (epoch 6.845), train_loss = 1.70240157, grad/param norm = 3.5892e-02, time/batch = 0.0921s	
1160/8400 (epoch 6.905), train_loss = 1.79471056, grad/param norm = 3.7968e-02, time/batch = 0.0959s	
1170/8400 (epoch 6.964), train_loss = 1.71439719, grad/param norm = 3.8955e-02, time/batch = 0.0917s	
1180/8400 (epoch 7.024), train_loss = 1.76854169, grad/param norm = 3.0225e-02, time/batch = 0.0922s	
1190/8400 (epoch 7.083), train_loss = 1.70317811, grad/param norm = 4.0242e-02, time/batch = 0.0962s	
1200/8400 (epoch 7.143), train_loss = 1.69328324, grad/param norm = 4.0091e-02, time/batch = 0.0929s	
1210/8400 (epoch 7.202), train_loss = 1.71606062, grad/param norm = 3.8029e-02, time/batch = 0.0929s	
1220/8400 (epoch 7.262), train_loss = 1.69646065, grad/param norm = 3.6690e-02, time/batch = 0.0921s	
1230/8400 (epoch 7.321), train_loss = 1.65051977, grad/param norm = 4.1932e-02, time/batch = 0.2002s	
1240/8400 (epoch 7.381), train_loss = 1.69786736, grad/param norm = 3.3678e-02, time/batch = 0.0904s	
1250/8400 (epoch 7.440), train_loss = 1.72076641, grad/param norm = 3.2332e-02, time/batch = 0.0911s	
1260/8400 (epoch 7.500), train_loss = 1.70871570, grad/param norm = 3.3452e-02, time/batch = 0.0925s	
1270/8400 (epoch 7.560), train_loss = 1.67315428, grad/param norm = 3.4499e-02, time/batch = 0.0915s	
1280/8400 (epoch 7.619), train_loss = 1.74230335, grad/param norm = 3.7206e-02, time/batch = 0.0928s	
1290/8400 (epoch 7.679), train_loss = 1.69679813, grad/param norm = 3.1373e-02, time/batch = 0.0922s	
1300/8400 (epoch 7.738), train_loss = 1.71510502, grad/param norm = 3.4134e-02, time/batch = 0.0909s	
1310/8400 (epoch 7.798), train_loss = 1.77832705, grad/param norm = 3.3833e-02, time/batch = 0.0911s	
1320/8400 (epoch 7.857), train_loss = 1.69697401, grad/param norm = 2.9186e-02, time/batch = 0.0912s	
1330/8400 (epoch 7.917), train_loss = 1.70477845, grad/param norm = 3.9013e-02, time/batch = 0.0915s	
1340/8400 (epoch 7.976), train_loss = 1.71880649, grad/param norm = 3.0090e-02, time/batch = 0.0926s	
1350/8400 (epoch 8.036), train_loss = 1.72663914, grad/param norm = 3.4272e-02, time/batch = 0.0904s	
1360/8400 (epoch 8.095), train_loss = 1.73429124, grad/param norm = 3.1986e-02, time/batch = 0.0916s	
1370/8400 (epoch 8.155), train_loss = 1.65342729, grad/param norm = 3.2297e-02, time/batch = 0.0911s	
1380/8400 (epoch 8.214), train_loss = 1.67887937, grad/param norm = 3.5525e-02, time/batch = 0.0911s	
1390/8400 (epoch 8.274), train_loss = 1.65662497, grad/param norm = 3.1544e-02, time/batch = 0.0918s	
1400/8400 (epoch 8.333), train_loss = 1.62906857, grad/param norm = 2.9724e-02, time/batch = 0.0918s	
1410/8400 (epoch 8.393), train_loss = 1.74145774, grad/param norm = 3.2172e-02, time/batch = 0.0912s	
1420/8400 (epoch 8.452), train_loss = 1.67458856, grad/param norm = 3.0700e-02, time/batch = 0.0908s	
1430/8400 (epoch 8.512), train_loss = 1.74038522, grad/param norm = 3.8927e-02, time/batch = 0.0904s	
1440/8400 (epoch 8.571), train_loss = 1.65710618, grad/param norm = 3.2276e-02, time/batch = 0.0913s	
1450/8400 (epoch 8.631), train_loss = 1.68072846, grad/param norm = 3.2155e-02, time/batch = 0.0928s	
1460/8400 (epoch 8.690), train_loss = 1.65574530, grad/param norm = 2.9870e-02, time/batch = 0.0916s	
1470/8400 (epoch 8.750), train_loss = 1.72597812, grad/param norm = 3.6984e-02, time/batch = 0.0913s	
1480/8400 (epoch 8.810), train_loss = 1.69641650, grad/param norm = 2.7620e-02, time/batch = 0.0911s	
1490/8400 (epoch 8.869), train_loss = 1.65718244, grad/param norm = 3.4119e-02, time/batch = 0.0918s	
1500/8400 (epoch 8.929), train_loss = 1.69769365, grad/param norm = 3.0426e-02, time/batch = 0.0906s	
1510/8400 (epoch 8.988), train_loss = 1.68656459, grad/param norm = 3.1651e-02, time/batch = 0.0922s	
1520/8400 (epoch 9.048), train_loss = 1.62986459, grad/param norm = 3.0630e-02, time/batch = 0.0914s	
1530/8400 (epoch 9.107), train_loss = 1.71313113, grad/param norm = 3.4902e-02, time/batch = 0.0911s	
1540/8400 (epoch 9.167), train_loss = 1.60915909, grad/param norm = 3.4096e-02, time/batch = 0.0911s	
1550/8400 (epoch 9.226), train_loss = 1.67683165, grad/param norm = 3.2140e-02, time/batch = 0.0913s	
1560/8400 (epoch 9.286), train_loss = 1.69461981, grad/param norm = 3.1130e-02, time/batch = 0.0902s	
1570/8400 (epoch 9.345), train_loss = 1.70175336, grad/param norm = 3.3137e-02, time/batch = 0.0916s	
1580/8400 (epoch 9.405), train_loss = 1.68780809, grad/param norm = 3.1199e-02, time/batch = 0.0905s	
1590/8400 (epoch 9.464), train_loss = 1.69996243, grad/param norm = 3.3885e-02, time/batch = 0.0926s	
1600/8400 (epoch 9.524), train_loss = 1.69530789, grad/param norm = 2.7863e-02, time/batch = 0.0903s	
1610/8400 (epoch 9.583), train_loss = 1.67404051, grad/param norm = 2.8808e-02, time/batch = 0.0917s	
1620/8400 (epoch 9.643), train_loss = 1.66715075, grad/param norm = 3.0081e-02, time/batch = 0.0908s	
1630/8400 (epoch 9.702), train_loss = 1.67711958, grad/param norm = 3.0264e-02, time/batch = 0.0916s	
1640/8400 (epoch 9.762), train_loss = 1.66684422, grad/param norm = 2.8923e-02, time/batch = 0.0932s	
1650/8400 (epoch 9.821), train_loss = 1.70073698, grad/param norm = 3.6067e-02, time/batch = 0.0895s	
1660/8400 (epoch 9.881), train_loss = 1.71497997, grad/param norm = 2.8368e-02, time/batch = 0.0918s	
1670/8400 (epoch 9.940), train_loss = 1.69670611, grad/param norm = 3.1589e-02, time/batch = 0.0905s	
1680/8400 (epoch 10.000), train_loss = 1.67936336, grad/param norm = 3.0042e-02, time/batch = 0.0913s	
1690/8400 (epoch 10.060), train_loss = 1.63385735, grad/param norm = 2.9149e-02, time/batch = 0.0912s	
1700/8400 (epoch 10.119), train_loss = 1.70235693, grad/param norm = 3.2931e-02, time/batch = 0.0915s	
1710/8400 (epoch 10.179), train_loss = 1.62527283, grad/param norm = 3.0250e-02, time/batch = 0.0917s	
1720/8400 (epoch 10.238), train_loss = 1.64657219, grad/param norm = 3.1798e-02, time/batch = 0.0921s	
1730/8400 (epoch 10.298), train_loss = 1.69205557, grad/param norm = 3.1329e-02, time/batch = 0.0919s	
1740/8400 (epoch 10.357), train_loss = 1.63628419, grad/param norm = 2.7143e-02, time/batch = 0.0911s	
1750/8400 (epoch 10.417), train_loss = 1.68480854, grad/param norm = 2.9755e-02, time/batch = 0.0906s	
1760/8400 (epoch 10.476), train_loss = 1.63757425, grad/param norm = 2.9347e-02, time/batch = 0.0914s	
1770/8400 (epoch 10.536), train_loss = 1.63080389, grad/param norm = 2.5860e-02, time/batch = 0.0904s	
1780/8400 (epoch 10.595), train_loss = 1.63727474, grad/param norm = 3.1661e-02, time/batch = 0.0911s	
1790/8400 (epoch 10.655), train_loss = 1.69962141, grad/param norm = 2.8183e-02, time/batch = 0.0913s	
1800/8400 (epoch 10.714), train_loss = 1.70289100, grad/param norm = 2.8650e-02, time/batch = 0.0931s	
1810/8400 (epoch 10.774), train_loss = 1.63871973, grad/param norm = 3.1239e-02, time/batch = 0.0930s	
1820/8400 (epoch 10.833), train_loss = 1.67935607, grad/param norm = 2.7211e-02, time/batch = 0.0915s	
1830/8400 (epoch 10.893), train_loss = 1.68397128, grad/param norm = 3.0191e-02, time/batch = 0.0917s	
1840/8400 (epoch 10.952), train_loss = 1.65029630, grad/param norm = 3.1663e-02, time/batch = 0.0905s	
1850/8400 (epoch 11.012), train_loss = 1.69719932, grad/param norm = 3.0609e-02, time/batch = 0.0919s	
1860/8400 (epoch 11.071), train_loss = 1.63421159, grad/param norm = 2.7977e-02, time/batch = 0.0920s	
1870/8400 (epoch 11.131), train_loss = 1.67049582, grad/param norm = 2.8906e-02, time/batch = 0.0910s	
1880/8400 (epoch 11.190), train_loss = 1.66677757, grad/param norm = 2.8365e-02, time/batch = 0.0909s	
1890/8400 (epoch 11.250), train_loss = 1.64116650, grad/param norm = 3.4319e-02, time/batch = 0.1005s	
1900/8400 (epoch 11.310), train_loss = 1.60569901, grad/param norm = 2.7029e-02, time/batch = 0.0913s	
1910/8400 (epoch 11.369), train_loss = 1.64320696, grad/param norm = 2.6450e-02, time/batch = 0.0909s	
1920/8400 (epoch 11.429), train_loss = 1.70441790, grad/param norm = 2.8391e-02, time/batch = 0.0922s	
1930/8400 (epoch 11.488), train_loss = 1.69127346, grad/param norm = 3.0650e-02, time/batch = 0.0912s	
1940/8400 (epoch 11.548), train_loss = 1.61774067, grad/param norm = 2.8551e-02, time/batch = 0.0917s	
1950/8400 (epoch 11.607), train_loss = 1.56276156, grad/param norm = 2.7930e-02, time/batch = 0.0903s	
1960/8400 (epoch 11.667), train_loss = 1.67339315, grad/param norm = 2.8224e-02, time/batch = 0.0916s	
1970/8400 (epoch 11.726), train_loss = 1.67864238, grad/param norm = 3.0062e-02, time/batch = 0.0900s	
1980/8400 (epoch 11.786), train_loss = 1.71734103, grad/param norm = 3.5168e-02, time/batch = 0.0919s	
1990/8400 (epoch 11.845), train_loss = 1.63009501, grad/param norm = 2.5088e-02, time/batch = 0.0927s	
2000/8400 (epoch 11.905), train_loss = 1.71660328, grad/param norm = 3.2927e-02, time/batch = 0.0926s	
2010/8400 (epoch 11.964), train_loss = 1.65197822, grad/param norm = 3.3392e-02, time/batch = 0.0924s	
2020/8400 (epoch 12.024), train_loss = 1.71845598, grad/param norm = 2.7411e-02, time/batch = 0.0919s	
2030/8400 (epoch 12.083), train_loss = 1.60396466, grad/param norm = 2.5704e-02, time/batch = 0.0918s	
2040/8400 (epoch 12.143), train_loss = 1.64647628, grad/param norm = 2.9558e-02, time/batch = 0.0918s	
2050/8400 (epoch 12.202), train_loss = 1.62518987, grad/param norm = 2.6445e-02, time/batch = 0.0912s	
2060/8400 (epoch 12.262), train_loss = 1.67125194, grad/param norm = 2.9191e-02, time/batch = 0.0903s	
2070/8400 (epoch 12.321), train_loss = 1.55047521, grad/param norm = 3.0256e-02, time/batch = 0.0898s	
2080/8400 (epoch 12.381), train_loss = 1.64372340, grad/param norm = 2.7114e-02, time/batch = 0.0914s	
2090/8400 (epoch 12.440), train_loss = 1.66156300, grad/param norm = 2.5993e-02, time/batch = 0.0915s	
2100/8400 (epoch 12.500), train_loss = 1.62424823, grad/param norm = 2.8191e-02, time/batch = 0.0919s	
2110/8400 (epoch 12.560), train_loss = 1.60462453, grad/param norm = 2.8717e-02, time/batch = 0.0915s	
2120/8400 (epoch 12.619), train_loss = 1.65970997, grad/param norm = 3.0896e-02, time/batch = 0.0926s	
2130/8400 (epoch 12.679), train_loss = 1.65559933, grad/param norm = 2.5005e-02, time/batch = 0.0924s	
2140/8400 (epoch 12.738), train_loss = 1.67001204, grad/param norm = 2.8326e-02, time/batch = 0.0923s	
2150/8400 (epoch 12.798), train_loss = 1.69819248, grad/param norm = 2.8587e-02, time/batch = 0.0920s	
2160/8400 (epoch 12.857), train_loss = 1.61896515, grad/param norm = 2.6558e-02, time/batch = 0.0923s	
2170/8400 (epoch 12.917), train_loss = 1.66941439, grad/param norm = 2.9944e-02, time/batch = 0.0917s	
2180/8400 (epoch 12.976), train_loss = 1.66048737, grad/param norm = 2.7342e-02, time/batch = 0.0912s	
2190/8400 (epoch 13.036), train_loss = 1.69056203, grad/param norm = 2.9823e-02, time/batch = 0.0898s	
2200/8400 (epoch 13.095), train_loss = 1.67221418, grad/param norm = 2.6396e-02, time/batch = 0.0922s	
2210/8400 (epoch 13.155), train_loss = 1.58848788, grad/param norm = 2.6574e-02, time/batch = 0.0912s	
2220/8400 (epoch 13.214), train_loss = 1.62988680, grad/param norm = 2.8732e-02, time/batch = 0.0919s	
2230/8400 (epoch 13.274), train_loss = 1.59614708, grad/param norm = 2.6248e-02, time/batch = 0.0911s	
2240/8400 (epoch 13.333), train_loss = 1.58809073, grad/param norm = 2.7279e-02, time/batch = 0.0907s	
2250/8400 (epoch 13.393), train_loss = 1.68911611, grad/param norm = 2.8396e-02, time/batch = 0.0906s	
2260/8400 (epoch 13.452), train_loss = 1.62742836, grad/param norm = 2.5003e-02, time/batch = 0.0914s	
2270/8400 (epoch 13.512), train_loss = 1.68475429, grad/param norm = 3.0579e-02, time/batch = 0.0902s	
2280/8400 (epoch 13.571), train_loss = 1.64153902, grad/param norm = 2.7377e-02, time/batch = 0.0917s	
2290/8400 (epoch 13.631), train_loss = 1.65044499, grad/param norm = 2.4581e-02, time/batch = 0.0911s	
2300/8400 (epoch 13.690), train_loss = 1.61686917, grad/param norm = 2.5197e-02, time/batch = 0.0929s	
2310/8400 (epoch 13.750), train_loss = 1.66868585, grad/param norm = 2.5116e-02, time/batch = 0.0909s	
2320/8400 (epoch 13.810), train_loss = 1.64762937, grad/param norm = 2.7042e-02, time/batch = 0.0955s	
2330/8400 (epoch 13.869), train_loss = 1.61839964, grad/param norm = 2.8572e-02, time/batch = 0.0932s	
2340/8400 (epoch 13.929), train_loss = 1.64643047, grad/param norm = 2.5361e-02, time/batch = 0.0932s	
2350/8400 (epoch 13.988), train_loss = 1.63876636, grad/param norm = 2.9351e-02, time/batch = 0.0917s	
2360/8400 (epoch 14.048), train_loss = 1.58752861, grad/param norm = 2.6154e-02, time/batch = 0.0971s	
2370/8400 (epoch 14.107), train_loss = 1.61600867, grad/param norm = 2.6965e-02, time/batch = 0.0928s	
2380/8400 (epoch 14.167), train_loss = 1.57001485, grad/param norm = 2.7603e-02, time/batch = 0.0919s	
2390/8400 (epoch 14.226), train_loss = 1.60286086, grad/param norm = 2.8408e-02, time/batch = 0.0925s	
2400/8400 (epoch 14.286), train_loss = 1.62293210, grad/param norm = 2.7654e-02, time/batch = 0.0913s	
2410/8400 (epoch 14.345), train_loss = 1.63980667, grad/param norm = 2.7162e-02, time/batch = 0.0929s	
2420/8400 (epoch 14.405), train_loss = 1.64491989, grad/param norm = 2.5256e-02, time/batch = 0.0913s	
2430/8400 (epoch 14.464), train_loss = 1.64877581, grad/param norm = 2.8955e-02, time/batch = 0.0895s	
2440/8400 (epoch 14.524), train_loss = 1.63027002, grad/param norm = 2.5419e-02, time/batch = 0.0902s	
2450/8400 (epoch 14.583), train_loss = 1.61367421, grad/param norm = 2.5017e-02, time/batch = 0.0900s	
2460/8400 (epoch 14.643), train_loss = 1.62664471, grad/param norm = 3.1332e-02, time/batch = 0.0928s	
2470/8400 (epoch 14.702), train_loss = 1.63364289, grad/param norm = 2.6242e-02, time/batch = 0.0902s	
2480/8400 (epoch 14.762), train_loss = 1.61094716, grad/param norm = 2.4815e-02, time/batch = 0.0914s	
2490/8400 (epoch 14.821), train_loss = 1.64809527, grad/param norm = 2.7587e-02, time/batch = 0.0923s	
2500/8400 (epoch 14.881), train_loss = 1.68013476, grad/param norm = 2.5396e-02, time/batch = 0.0917s	
